Codigo,Descricao da Conta,Tipo
3.4.002,Resultado do Exercício 2026 - Itaú,PATRIMÔNIO LÍQUIDO
3.4.003,Resultado do Exercício 2025 - XP,PATRIMÔNIO LÍQUIDO
3.4.004,Resultado do Exercício 2026 - XP/Bradesco,PATRIMÔNIO LÍQUIDO
4,CONTAS DE RESULTADO - RECEITAS,RECEITA
4.1,Receitas Financeiras - Itaú,RECEITA
4.1.001,"Receitas Financeiras - Itaú (rendimentos, dividendos e juros diversos)",RECEITA
4.1.002,Receita Juros - Itaú / CLN HSBC (Grupo 1),RECEITA
4.1.003,Receita Juros - Itaú / CLN ARC MITTAL (Grupo 1),RECEITA
4.1.004,Receita Juros - Itaú / CLN BRADESCO (Grupo 1),RECEITA
4.1.005,Receita Juros - Itaú / Outras posições (19 papéis c/ cupom),RECEITA
4.2,Receitas Financeiras - XP/Bradesco,RECEITA
4.2.001,Receitas Financeiras - XP/Bradesco (rendimentos e juros diversos),RECEITA
5,CONTAS DE RESULTADO - DESPESAS,DESPESA
5.1,Despesas Financeiras - Itaú,DESPESA
5.1.001,Despesas Financeiras e Perdas - Itaú,DESPESA
5.2,Despesas Financeiras - XP/Bradesco,DESPESA
5.2.001,Despesas Financeiras e Perdas - XP/Bradesco,DESPESA
9,CONTAS DE CONTROLE (MEMORANDO),MEMORANDO
9.1.001,Memo - Transferência de custódia de ativos (sem efeito no valor contábil),MEMORANDO
